graph_id,top1_slowdown,top5_slowdown,top10_slowdown,top100_slowdown,kendall_tau
albert_en_xlarge_batch_size_16_test,1.0002484321594238,1.0001730918884277,1.0000464916229248,1.0000464916229248,0.5985534810185248
bert_en_cased_L-12_H-768_A-12_batch_size_16_test,1.0013726949691772,1.001327633857727,1.0006296634674072,1.0001168251037598,0.6007281146200729
bert_multi_cased_L-12_H-768_A-12_batch_size_16_train,1.0002293586730957,1.0002293586730957,1.0002293586730957,1.0001648664474487,0.5043565236227769
small_bert_bert_en_uncased_L-10_H-128_A-2_batch_size_32_test,1.0038427114486694,1.0038427114486694,1.0019783973693848,1.0006963014602661,0.5919864331788415
small_bert_bert_en_uncased_L-10_H-128_A-2_batch_size_64_train,1.0012656450271606,1.0012151002883911,1.0010334253311157,1.000468134880066,0.573677000283396
small_bert_bert_en_uncased_L-10_H-256_A-4_batch_size_32_test,1.002524733543396,1.001979947090149,1.0008200407028198,1.0002895593643188,0.5454589062950963
small_bert_bert_en_uncased_L-10_H-256_A-4_batch_size_64_train,1.0032148361206055,1.001792311668396,1.0011078119277954,1.0005470514297485,0.5194992306212695
small_bert_bert_en_uncased_L-10_H-512_A-8_batch_size_64_test,1.0015753507614136,1.0013728141784668,1.0011354684829712,1.000939965248108,0.4461446397520518
small_bert_bert_en_uncased_L-10_H-768_A-12_batch_size_16_train,1.0008610486984253,1.0008610486984253,1.0004067420959473,1.0002927780151367,0.5460528127301159
small_bert_bert_en_uncased_L-10_H-768_A-12_batch_size_32_test,1.0009405612945557,1.0007951259613037,1.0004795789718628,1.000389814376831,0.5482114789362925
small_bert_bert_en_uncased_L-12_H-768_A-12_batch_size_64_train,1.0003025531768799,1.0002979040145874,1.0002979040145874,1.0000767707824707,0.5029512319128363
small_bert_bert_en_uncased_L-2_H-256_A-4_batch_size_32_train,1.0021687746047974,1.0018365383148193,1.0018365383148193,1.000398874282837,0.5188416207327258
small_bert_bert_en_uncased_L-4_H-256_A-4_batch_size_32_train,1.0033215284347534,1.0017893314361572,1.0017893314361572,1.001331090927124,0.45784117749877545
small_bert_bert_en_uncased_L-4_H-512_A-8_batch_size_32_train,1.0031510591506958,1.002236247062683,1.002236247062683,1.001787543296814,0.3972776105406027
small_bert_bert_en_uncased_L-6_H-256_A-4_batch_size_16_train,1.0042953491210938,1.0024478435516357,1.0010722875595093,1.0007117986679077,0.47683418799020905
small_bert_bert_en_uncased_L-6_H-256_A-4_batch_size_64_train,1.0024473667144775,1.0009737014770508,1.0009737014770508,1.000189185142517,0.4837829642898524
small_bert_bert_en_uncased_L-6_H-512_A-8_batch_size_64_test,1.0014472007751465,1.001086711883545,1.001064658164978,1.0003522634506226,0.5114914748963277
small_bert_bert_en_uncased_L-6_H-768_A-12_batch_size_16_test,1.0011241436004639,1.000877022743225,1.0006089210510254,1.0002994537353516,0.5733055041123801
small_bert_bert_en_uncased_L-6_H-768_A-12_batch_size_32_train,1.000627875328064,1.0005838871002197,1.0005838871002197,1.0003044605255127,0.5428307119816432
talking-heads_large_batch_size_16_train,1.0002928972244263,1.0002928972244263,1.0001966953277588,1.0001966953277588,0.5776422420480501
